1289 170148
1 4 1
1 519 1
1 522 1
1 12 1
1 15 1
1 1040 -1
1 1043 1
1 21 1
1 534 1
1 24 -1
1 539 1
1 541 -1
1 1055 1
1 545 1
1 1058 1
1 549 1
1 263 1
1 40 1
1 554 1
1 1067 1
1 44 1
1 691 1
1 1071 -1
1 563 -1
1 52 1
1 565 1
1 1119 1
1 55 1
1 56 1
1 59 1
1 60 1
1 61 1
1 575 1
1 1077 1
1 1092 1
1 581 1
1 1094 1
1 73 1
1 588 1
1 1102 1
1 593 1
1 595 1
1 84 1
1 452 1
1 88 -1
1 869 1
1 605 1
1 606 1
1 607 1
1 102 1
1 1125 1
1 1126 1
1 107 1
1 1132 1
1 1136 1
1 1198 1
1 115 1
1 629 -1
1 119 1
1 632 1
1 634 -1
1 1147 1
1 1148 -1
1 126 1
1 1151 1
1 1152 1
1 642 1
1 132 -1
1 645 1
1 647 1
1 648 1
1 1161 1
1 650 1
1 139 1
1 140 1
1 654 1
1 878 1
1 145 -1
1 793 1
1 659 1
1 1172 1
1 662 -1
1 663 1
1 664 1
1 1178 -1
1 880 1
1 670 1
1 676 -1
1 1191 -1
1 168 1
1 1194 1
1 1195 1
1 1196 1
1 1139 1
1 687 1
1 179 -1
1 1204 1
1 694 1
1 183 -1
1 970 1
1 185 -1
1 698 1
1 701 1
1 194 1
1 707 1
1 196 1
1 1221 1
1 376 1
1 717 1
1 1230 1
1 720 1
1 721 1
1 1234 1
1 213 1
1 728 1
1 218 1
1 732 1
1 221 1
1 223 -1
1 738 1
1 892 1
1 1255 1
1 1257 -1
1 1258 1
1 236 1
1 237 1
1 1262 1
1 1263 1
1 638 1
1 241 1
1 242 1
1 755 1
1 246 1
1 1271 1
1 42 1
1 1274 1
1 1275 1
1 253 1
1 766 -1
1 1080 1
1 1282 1
1 1283 1
1 556 1
1 773 -1
1 774 1
1 775 1
1 1203 1
1 267 -1
1 453 1
1 271 1
1 272 1
1 785 1
1 276 1
1 277 1
1 280 1
1 281 1
1 794 1
1 795 1
1 798 1
1 390 1
1 290 1
1 291 1
1 294 1
1 295 1
1 296 1
1 297 1
1 1160 1
1 137 1
1 308 1
1 312 -1
1 313 1
1 314 1
1 316 1
1 1163 1
1 836 1
1 837 1
1 331 1
1 844 1
1 745 1
1 335 1
1 849 -1
1 340 1
1 346 1
1 347 1
1 862 1
1 867 1
1 357 1
1 870 1
1 359 1
1 873 1
1 362 1
1 875 1
1 876 1
1 1070 1
1 368 1
1 337 1
1 233 1
1 373 -1
1 63 1
1 375 1
1 888 1
1 889 -1
1 890 1
1 576 1
1 895 1
1 897 1
1 386 1
1 1175 1
1 391 1
1 393 1
1 907 1
1 396 1
1 355 1
1 911 1
1 986 1
1 407 1
1 920 1
1 411 1
1 923 1
1 928 -1
1 753 1
1 422 1
1 423 1
1 424 1
1 938 -1
1 228 -1
1 940 1
1 941 -1
1 431 -1
1 414 1
1 949 1
1 951 1
1 902 1
1 501 -1
1 957 1
1 332 1
1 965 1
1 458 -1
1 248 -1
1 462 -1
1 590 1
1 468 1
1 981 1
1 472 1
1 474 1
1 478 1
1 991 1
1 934 -1
1 994 1
1 483 1
1 997 -1
1 935 1
1 765 1
1 1005 -1
1 1107 1
1 1007 1
1 1008 1
1 1011 1
1 1013 1
1 170 1
1 1020 1
1 509 1
1 1022 1
1 512 1
2 1026 1
2 1028 1
2 7 1
2 514 -1
2 429 -1
2 13 1
2 1039 1
2 18 1
2 19 1
2 871 1
2 1050 1
2 544 1
2 1060 1
2 519 -1
2 1220 1
2 1065 -1
2 44 -1
2 1070 1
2 1247 1
2 50 -1
2 56 1
2 1081 -1
2 693 -1
2 59 1
2 575 -1
2 378 1
2 609 1
2 580 1
2 69 1
2 70 -1
2 72 1
2 75 1
2 588 1
2 611 1
2 1105 -1
2 1109 -1
2 148 1
