4456 19594
22 55 48
28 62 32
14 70 38
45 82 54
16 83 88
5 100 71
63 106 18
12 108 77
3 116 89
73 116 46
6 117 16
122 125 68
37 130 16
47 136 14
99 137 53
19 144 19
107 144 90
13 150 28
25 150 78
97 157 54
125 159 18
127 159 52
159 170 37
47 172 78
119 173 8
94 174 3
86 177 12
128 177 8
21 179 43
31 180 37
139 181 23
114 182 55
38 184 36
126 184 13
77 186 79
130 189 77
100 193 55
130 193 75
147 193 89
149 193 33
175 193 83
36 196 26
96 197 82
132 198 91
84 205 62
44 207 4
106 208 63
144 208 42
66 211 49
152 213 37
186 214 62
100 215 42
206 217 90
6 220 34
215 223 84
160 224 28
16 225 20
121 226 82
172 227 80
153 228 74
105 229 42
119 230 32
143 230 44
25 231 61
178 236 77
71 239 33
211 239 27
235 240 37
73 247 66
214 250 52
189 256 7
22 259 44
233 259 6
73 260 61
206 260 72
89 263 48
69 265 11
17 267 56
149 267 56
235 272 53
81 275 80
82 276 22
85 276 70
210 276 84
105 278 42
29 281 15
70 286 72
268 288 28
90 291 69
28 293 42
250 294 13
86 300 41
120 302 52
114 306 89
135 306 71
23 307 62
32 310 49
15 311 15
54 315 79
249 315 82
18 316 42
31 320 51
32 321 53
79 321 82
282 321 58
119 326 71
33 328 18
110 329 45
92 330 13
101 331 11
52 333 59
295 334 52
1 336 78
333 339 12
43 343 88
329 343 6
205 344 16
111 345 8
319 347 83
258 348 83
328 348 90
50 350 47
98 351 88
154 352 83
336 356 82
32 358 28
133 364 69
193 364 91
227 365 87
59 368 50
42 369 8
287 371 5
289 372 70
123 376 77
122 377 70
24 379 54
67 379 48
230 379 44
311 379 46
361 380 56
139 382 18
337 382 31
351 382 30
191 383 37
372 383 56
93 385 88
115 386 45
153 393 71
128 394 10
271 399 87
196 402 22
334 402 22
89 403 62
359 405 65
110 406 13
404 406 31
8 408 86
12 409 35
101 409 63
248 410 15
260 410 72
308 410 12
353 411 59
37 413 70
181 415 30
288 415 56
159 417 82
10 419 62
211 419 49
130 422 53
21 423 58
323 423 4
18 424 64
174 428 75
157 429 52
265 429 76
351 429 86
402 431 71
391 432 85
14 433 32
311 433 53
364 433 12
307 434 37
35 436 8
32 437 53
280 437 64
281 437 26
258 438 5
175 439 48
251 439 21
349 440 86
82 441 61
222 441 73
104 442 25
265 443 50
418 443 33
270 444 41
145 447 71
170 447 22
142 448 22
281 448 58
305 448 65
419 448 82
408 452 77
273 453 37
226 454 55
242 455 17
339 455 48
198 456 54
224 456 81
373 457 47
46 459 62
409 461 41
19 462 65
402 462 36
74 463 68
448 464 39
134 465 8
435 465 76
191 468 48
374 468 12
85 469 65
309 469 3
373 471 83
231 472 15
364 475 75
463 475 46
73 478 76
171 479 58
160 480 45
471 480 22
33 481 37
89 481 15
140 481 91
85 482 67
139 483 62
327 483 10
338 483 34
19 484 21
78 486 70
212 487 54
470 487 51
245 488 83
231 494 76
45 495 75
135 495 65
470 495 70
282 496 83
241 497 78
265 499 24
497 499 45
90 501 66
168 501 45
154 505 3
20 508 38
355 508 43
369 508 45
271 509 13
386 510 70
97 512 28
340 517 61
367 517 81
113 518 18
325 518 32
415 518 25
63 519 78
478 521 32
63 522 29
361 522 3
25 524 7
224 524 47
19 526 8
171 526 13
487 526 72
80 527 61
348 529 26
150 531 23
349 532 67
70 533 32
157 533 37
236 533 14
367 533 26
530 533 89
163 534 28
185 537 52
16 538 41
238 539 84
36 540 20
376 540 46
148 542 29
523 543 26
417 544 89
2 545 43
247 545 12
485 547 49
51 548 41
329 549 59
207 551 42
110 553 76
237 553 83
391 553 59
505 553 63
415 555 55
238 556 43
344 556 76
474 556 23
431 557 60
441 559 75
545 560 71
175 563 13
446 565 11
7 566 47
247 566 52
84 567 21
91 567 86
534 568 59
478 569 41
366 573 29
208 574 80
256 574 48
242 575 60
561 575 20
117 576 83
409 576 18
219 577 45
276 577 12
574 578 35
178 579 39
576 580 53
90 581 73
367 582 46
518 582 45
4 583 41
249 585 68
400 585 44
459 586 6
576 586 71
75 587 47
471 587 44
109 589 76
166 589 24
225 589 90
228 590 19
78 591 18
228 591 18
199 592 77
511 592 63
166 594 68
561 594 13
411 595 40
29 596 7
245 596 38
589 596 45
407 598 42
493 598 44
20 599 31
313 599 84
244 601 76
248 601 26
403 601 30
560 601 27
580 601 84
44 603 34
73 604 60
8 606 54
260 607 63
278 607 65
486 608 60
373 610 24
514 610 20
588 610 58
154 611 89
500 611 80
61 612 23
258 612 49
342 612 86
484 612 58
94 613 9
505 614 41
132 615 83
150 615 35
590 615 18
403 616 25
521 617 68
100 620 84
337 621 26
252 622 76
564 622 73
309 623 23
446 624 32
611 624 64
59 625 7
180 625 17
468 625 52
1 626 63
495 626 24
56 627 51
203 628 36
626 628 34
18 630 78
62 630 80
480 631 7
187 632 43
435 634 30
428 637 57
550 638 79
254 639 31
285 640 6
511 641 61
182 642 57
550 642 59
598 642 70
25 643 31
27 643 74
89 643 13
527 643 28
530 643 7
571 643 73
20 644 89
69 644 22
605 645 74
638 645 83
31 646 44
562 646 5
438 647 66
108 648 64
275 648 28
510 648 38
598 648 62
439 649 78
639 649 40
158 650 6
462 650 25
152 651 57
260 651 88
383 652 64
172 653 71
641 653 29
387 654 8
226 655 64
538 656 18
512 658 18
106 661 28
390 661 30
107 662 87
212 662 91
429 665 76
587 665 12
269 667 79
530 667 61
652 667 36
407 668 22
437 671 69
155 673 32
272 673 74
270 674 81
387 674 34
379 675 47
198 676 4
244 677 18
246 677 91
62 678 5
196 678 37
458 678 9
56 679 16
136 679 18
405 679 10
478 681 14
678 681 25
205 682 79
306 682 84
303 683 77
155 686 81
612 686 20
91 687 20
151 689 60
460 689 37
646 689 69
410 690 66
525 690 84
639 690 86
510 691 30
402 692 7
604 692 63
286 694 26
235 695 7
124 696 58
464 696 22
584 696 28
209 697 3
63 699 66
324 699 34
411 699 74
139 701 11
230 701 8
438 701 29
514 701 26
636 702 3
495 703 9
14 704 20
44 704 85
288 705 66
569 705 24
664 705 64
442 706 52
499 706 73
523 706 3
559 706 62
337 707 48
55 708 31
243 709 51
316 709 46
141 710 11
58 712 33
107 714 9
176 714 53
334 715 51
62 716 47
585 717 29
108 718 32
342 719 28
241 720 51
703 720 22
154 721 40
236 721 56
266 721 90
413 721 74
349 722 84
193 724 10
659 724 79
97 725 70
341 725 36
8 726 72
128 726 79
179 727 24
330 727 12
176 728 83
721 728 69
197 729 83
29 730 71
288 730 15
396 730 40
499 730 28
44 731 79
209 731 45
602 731 26
698 733 82
426 734 40
499 734 21
382 735 54
560 735 74
645 735 15
581 736 84
646 736 48
219 738 35
609 738 83
116 739 26
309 739 34
560 740 60
177 741 69
279 741 46
463 741 81
135 742 25
166 743 49
17 744 67
515 744 28
614 746 75
239 747 45
529 747 14
194 748 72
291 748 10
562 748 77
614 749 91
698 749 74
740 750 85
246 754 68
149 755 54
385 755 66
530 755 86
416 756 85
592 756 6
638 758 21
92 759 46
320 759 61
505 759 5
747 759 83
147 760 11
227 761 86
630 761 85
420 762 43
491 762 27
196 763 48
665 764 3
103 765 50
165 765 75
709 765 86
720 765 45
137 766 5
311 766 8
485 766 7
764 766 79
714 767 31
579 768 31
345 769 75
482 769 50
619 769 82
609 770 3
554 771 90
573 771 89
446 772 25
535 772 69
640 772 18
668 772 68
680 773 55
256 774 45
6 776 51
700 776 30
11 777 10
738 777 54
131 778 20
696 778 76
466 779 24
32 780 85
483 782 44
65 783 52
50 785 65
442 785 12
554 785 58
47 787 60
209 787 49
319 788 39
77 789 20
80 789 54
396 789 43
433 789 52
726 789 47
204 790 20
642 791 62
163 792 66
207 792 55
511 794 71
604 794 34
26 795 9
517 796 16
81 797 70
375 797 59
617 797 9
141 798 88
764 798 86
547 799 29
281 800 27
710 800 38
573 802 26
25 803 66
187 803 88
426 803 47
130 804 56
694 804 35
357 807 9
37 808 43
253 808 41
363 809 77
50 810 6
249 812 73
519 812 3
528 812 46
2 814 38
488 815 91
696 817 6
788 817 23
552 818 37
463 819 81
525 819 76
597 819 72
761 819 71
515 820 66
226 821 31
485 821 58
671 821 73
584 822 76
443 823 11
793 823 37
640 826 91
507 827 33
510 827 41
92 828 31
274 828 50
714 828 32
623 829 31
769 829 5
810 830 81
233 831 88
774 831 76
207 832 29
160 833 4
206 833 32
611 833 5
700 834 38
190 835 33
246 835 47
447 835 18
614 835 56
783 835 9
44 836 30
626 836 28
806 836 54
346 837 85
618 838 72
829 838 76
324 839 77
513 839 46
554 839 55
686 839 8
553 840 79
551 842 72
266 843 64
296 843 8
299 843 25
302 843 14
461 843 65
793 843 13
232 844 71
619 844 19
132 845 85
700 845 83
841 845 14
126 847 21
629 847 27
318 849 36
555 849 39
234 850 66
358 850 51
538 852 77
138 853 78
441 853 64
632 854 30
660 854 73
208 856 31
397 856 21
452 856 36
104 857 86
690 857 41
68 858 42
349 858 7
824 858 70
478 859 53
546 859 73
748 859 86
425 860 40
377 861 4
510 861 39
734 861 74
340 862 26
448 862 54
481 862 9
642 862 71
766 863 16
11 864 7
110 864 80
214 866 78
243 866 38
312 866 10
626 866 12
844 867 24
18 868 35
270 869 60
586 870 6
685 870 80
408 871 21
173 872 27
723 872 6
384 873 64
292 874 54
723 874 72
160 875 39
363 875 19
462 875 23
674 875 84
38 876 29
64 877 32
675 877 90
805 878 45
105 879 77
634 879 37
52 880 22
605 880 51
89 881 84
460 881 55
93 882 84
813 882 58
487 883 27
880 883 21
12 884 20
62 884 56
584 884 55
867 884 38
288 885 60
47 888 25
691 888 77
728 888 19
722 889 71
53 890 86
651 891 21
654 891 33
340 892 10
388 893 24
766 893 27
599 894 47
698 894 35
357 895 9
622 895 87
682 895 26
894 895 71
71 897 28
73 897 56
679 897 37
89 898 9
212 898 27
854 898 25
157 899 50
521 899 35
27 900 30
45 901 4
357 901 12
893 901 61
657 902 10
263 903 33
532 903 81
756 903 21
390 904 34
613 904 28
781 904 66
100 905 55
616 905 68
561 907 13
839 908 57
98 909 64
132 909 49
808 909 90
238 910 26
441 910 70
831 910 76
416 911 55
430 911 59
472 911 7
557 911 10
324 912 64
419 912 45
849 912 74
516 913 70
632 913 69
150 914 78
646 914 23
725 914 16
832 915 42
913 915 22
192 916 74
225 917 31
570 917 32
692 917 66
882 917 16
258 919 13
33 920 50
693 920 51
151 921 22
18 923 65
852 923 22
818 924 54
466 925 78
719 925 29
786 925 8
724 926 17
604 927 49
696 928 9
855 928 9
320 929 45
436 929 9
512 929 3
453 930 74
175 931 38
205 931 34
414 932 15
453 932 73
679 932 48
7 933 46
504 933 60
55 936 69
364 936 77
395 936 4
891 936 17
187 937 35
191 937 36
467 938 78
882 939 58
56 940 85
434 942 11
541 942 28
555 943 4
879 943 7
38 944 40
314 944 26
460 944 6
602 944 12
654 944 30
90 945 11
228 945 91
734 945 72
750 945 20
147 946 87
784 946 43
772 947 64
791 947 91
902 947 27
477 948 10
665 948 55
793 948 48
498 949 37
58 950 59
839 950 7
886 951 40
940 951 89
438 952 84
800 952 64
373 953 68
927 953 69
66 954 82
597 954 19
559 955 64
182 956 45
632 956 66
857 956 46
375 957 75
459 957 39
164 958 21
631 959 43
37 960 4
185 960 73
206 960 75
321 961 69
197 962 66
134 963 8
294 963 43
640 963 91
907 963 19
714 964 81
79 965 3
328 966 28
188 967 78
173 968 20
292 969 59
735 969 64
101 970 40
380 971 35
490 971 7
695 972 52
743 972 53
639 973 42
818 973 60
528 976 35
121 978 39
254 978 10
553 978 81
576 978 86
961 978 36
186 979 42
362 979 84
653 979 25
385 980 82
743 980 49
305 981 40
318 981 65
487 981 89
878 981 18
552 982 9
855 983 41
890 984 24
981 984 29
982 984 79
969 985 4
101 986 46
114 986 51
63 987 88
232 987 44
314 988 28
325 988 44
703 989 76
733 989 66
13 990 49
213 990 17
21 991 16
680 991 72
60 992 78
401 992 11
864 992 8
233 993 60
333 993 6
519 993 72
603 994 90
458 995 49
931 995 23
398 996 28
794 996 49
853 996 34
569 997 17
125 998 83
201 998 85
160 999 16
385 999 79
730 999 40
735 999 20
200 1000 64
260 1000 15
664 1000 68
800 1000 4
158 1001 29
786 1001 80
417 1002 71
625 1002 67
