2500 5000
728 1118 1
1118 1991 2
728 847 2
1118 1768 10
1069 1991 6
1814 1991 10
847 2500 6
2464 2500 2
728 2076 1
460 847 4
406 1069 9
1118 1622 9
415 1768 5
259 2500 7
415 2129 8
1684 1814 4
967 1814 2
1335 1991 10
967 2228 10
934 1768 8
973 1118 3
1406 1684 1
460 1709 1
259 2387 7
1814 2245 10
1709 1886 6
819 1622 9
408 415 6
606 973 6
1484 2464 6
728 2436 2
537 1118 10
1684 2059 9
537 1623 9
4 967 4
1007 2436 8
415 1697 1
408 1904 8
117 2129 6
847 988 8
1460 1622 3
1335 1567 9
819 950 1
388 1709 6
593 728 9
387 2436 3
117 2100 5
569 2500 9
293 2059 6
460 2452 10
612 1814 2
537 2123 8
819 861 2
408 2214 10
387 1695 10
819 1246 7
799 967 5
16 819 10
43 1246 6
988 2045 3
1203 2228 10
842 2500 8
593 1453 9
1006 1335 3
1993 2464 3
117 1357 2
925 2214 5
346 1886 5
606 942 10
847 1861 8
1945 1993 6
293 784 5
1305 1993 8
399 1945 8
537 1209 3
714 2464 3
2123 2443 7
406 553 3
264 408 5
1949 2076 9
525 2059 1
1991 2021 1
460 1930 10
262 1904 6
1124 1695 9
806 1406 4
950 2236 5
318 612 10
259 1613 3
246 399 2
246 1277 9
1425 2076 7
406 1156 4
56 861 6
950 1913 7
765 934 8
117 1097 3
612 1044 7
714 875 8
43 2261 4
1118 2047 9
460 2092 6
1891 2059 1
346 791 8
492 875 9
2148 2387 6
1697 2413 5
456 1861 8
1526 1886 7
226 847 1
735 2214 7
1217 1945 2
282 1406 5
2100 2476 7
934 2075 7
1007 2110 2
117 1286 6
408 581 4
791 1797 8
1139 1891 4
1215 2076 4
1262 2045 9
318 627 5
735 1534 3
806 1192 10
406 549 10
1343 2110 8
420 735 5
1 806 3
1183 1484 9
1069 1694 9
2281 2452 9
1768 2426 4
1567 2042 5
1286 1520 3
1954 2123 1
29 553 5
519 1357 2
124 2047 5
1991 2023 6
537 2173 7
375 1262 9
1156 1422 8
282 1112 7
420 463 3
1044 1320 5
747 1891 8
1505 1695 2
1505 1677 5
1156 2111 8
728 803 8
765 1241 6
1765 1991 7
28 875 6
714 1544 5
1795 2045 4
1259 1613 2
520 2236 4
1931 2464 2
1090 2111 8
204 1277 9
1468 1993 5
755 1567 8
513 1697 3
438 1695 7
1139 2362 10
929 1262 5
1215 1834 5
513 563 7
2132 2261 9
188 262 3
627 1824 6
117 2446 8
408 1883 4
1643 1945 6
622 1534 10
773 819 1
72 2100 6
1296 1834 2
1170 1904 3
1778 2228 3
262 296 3
1632 2129 1
891 1945 8
440 934 1
1428 1484 5
1215 2276 3
1333 1886 2
973 1711 1
949 2132 2
1460 1580 8
4 560 10
282 505 2
1688 2236 1
925 1725 8
569 1324 7
72 2152 9
937 1241 10
138 420 3
362 1883 4
1518 2228 7
1006 1699 4
537 1638 3
1849 2173 9
1847 2276 3
627 1174 8
1581 1699 10
1241 2423 6
967 2208 8
754 1688 1
215 1567 10
505 762 5
1468 1619 3
47 1622 8
549 562 2
698 1580 4
1548 1697 4
668 2245 4
306 1697 3
1203 2229 9
204 512 9
226 289 1
1370 2413 9
261 988 1
1937 2281 5
1780 2276 9
891 2428 8
264 1377 2
1169 1699 2
761 2236 4
1570 2123 1
988 2194 7
830 1520 9
2362 2384 5
315 1357 4
1279 1937 4
562 2217 8
33 765 9
66 406 7
72 1062 3
463 1008 5
1277 2438 5
1008 1064 6
163 1580 7
1456 2452 5
297 2194 7
440 2101 8
784 2477 3
636 1632 10
1797 1882 10
508 2245 10
1261 2101 3
309 315 7
56 1257 2
1124 2481 5
488 1623 10
1062 1088 4
520 2416 8
1647 2261 6
1632 1994 4
1691 2229 4
127 2110 2
1527 2110 2
16 1253 6
199 612 8
553 2327 3
363 973 4
388 1046 7
1073 2092 1
43 1214 6
1940 2423 9
1286 2368 5
1257 1654 5
627 2176 5
1824 2095 5
825 1697 5
1519 1697 4
535 1643 4
1112 1207 10
123 1699 8
1644 2245 7
100 627 2
1170 1618 5
361 2021 5
1257 1951 10
1619 2128 5
825 1751 8
23 2368 9
375 1483 2
2185 2208 8
48 2281 8
1122 1883 1
1456 2348 4
123 810 8
327 1527 5
94 2217 7
1073 1350 3
406 1615 5
1169 1754 4
1350 1854 5
1324 2106 5
256 388 4
508 823 8
821 1277 3
1652 2128 8
523 2129 1
563 1128 8
264 451 8
289 454 8
1554 2229 8
847 2062 8
2185 2280 5
418 2276 4
346 841 1
243 755 2
519 1920 5
48 1363 7
43 1510 6
243 265 6
41 1214 5
763 929 2
2318 2413 1
819 1378 9
1097 1549 4
883 1333 9
253 523 7
821 2411 8
256 2444 8
2288 2443 9
1512 2123 6
566 821 4
2128 2345 9
1809 1882 3
779 2327 7
1433 2042 5
415 663 7
728 1756 1
324 1456 2
1288 1505 7
911 1824 8
156 761 6
345 2128 6
263 1044 1
56 2210 5
157 1320 10
2059 2239 6
265 774 3
530 2443 10
117 1885 8
1209 1368 2
1192 1642 1
630 1406 3
363 2175 6
441 1090 5
2402 2411 5
636 1662 5
170 408 6
1090 1712 5
51 1069 6
705 1169 5
327 1539 8
875 2380 9
1 2377 6
2123 2159 7
1205 2075 9
503 2413 1
837 1350 2
270 2477 6
911 1575 6
228 454 2
28 2386 8
2062 2156 6
1655 2217 9
1784 2045 3
2173 2215 3
1069 2353 2
259 522 7
270 312 4
259 1226 3
1582 1904 9
933 1931 2
911 2150 3
395 762 5
1412 2101 5
1188 1527 3
367 1662 5
1772 1886 3
725 2059 6
1728 2368 4
652 1949 5
1253 2378 9
417 1261 2
1763 1795 4
362 2090 7
520 544 10
904 2353 3
1169 1285 4
263 385 4
1780 2332 9
1814 1871 2
1433 2204 1
503 2161 5
1294 1618 1
463 515 2
7 1425 7
82 1519 2
1780 2434 3
1059 1644 10
2291 2464 5
1761 1780 8
519 726 9
803 1463 7
588 765 1
437 612 3
1477 2438 6
395 1799 6
1588 2446 3
789 1285 2
1932 2348 7
180 1809 3
440 638 9
376 1539 3
358 1780 1
28 2016 4
202 1954 5
306 1462 10
1374 2481 2
2128 2373 5
1954 2417 10
1105 2129 6
1346 2210 9
23 1928 4
1655 1942 4
513 1708 8
869 1122 7
1936 2327 5
417 1713 6
48 1767 2
2108 2291 2
1261 2440 8
559 821 6
1694 2328 5
2128 2279 4
175 1246 6
1 2406 5
94 1176 5
500 869 1
132 779 7
882 2318 1
465 1554 3
1035 2090 4
361 1872 3
375 1640 10
558 2110 4
332 1872 6
1335 1389 8
558 749 8
1485 1505 10
810 996 2
1642 1789 4
40 1526 3
1080 1697 7
1980 2280 6
346 2127 3
50 51 6
13 1809 1
357 1156 9
1 2294 4
525 1168 3
200 726 5
406 1938 4
1862 2380 9
1062 1379 7
287 1428 1
622 2014 1
335 1510 2
59 1765 8
376 895 5
891 2038 4
42 256 3
1217 1366 10
725 1864 8
199 1941 8
390 825 7
1682 2426 2
248 2092 7
530 1565 10
308 1954 10
395 2490 6
882 1391 4
1226 2274 6
1622 2226 4
1566 2438 10
250 1711 7
799 926 4
417 585 4
354 1765 7
379 1615 2
988 2267 10
143 1691 2
408 2006 1
1921 2274 1
358 2188 8
2047 2157 2
454 1423 8
1551 2132 4
789 2181 10
59 381 5
925 1254 1
889 1854 9
1453 1829 1
725 1976 1
1223 2157 3
1936 2213 5
461 1566 10
535 954 5
1261 1895 8
2313 2500 10
934 1856 3
346 487 2
1243 2095 2
604 1647 4
204 1704 7
1462 2088 5
934 1629 10
1607 1993 2
1409 2173 1
1765 1837 9
462 749 3
120 1895 6
922 1930 7
630 1034 1
31 2148 2
988 1983 6
630 1970 8
259 1495 10
389 937 6
385 2305 1
675 1366 10
816 1932 9
1539 2103 2
338 358 2
402 2440 3
438 1959 3
426 2452 9
1719 1872 6
1176 2113 9
1078 1105 6
562 1560 3
1124 1434 7
749 1036 6
865 1259 5
332 2166 4
454 701 3
1744 2452 5
1942 2301 2
736 967 1
606 783 7
390 1055 3
1177 2373 7
1029 1708 6
841 1123 1
785 1188 7
1898 2215 3
387 509 4
33 1528 9
71 823 10
761 1302 2
