1635 5717
10 13 23
12 29 8
6 43 9
18 45 41
15 46 22
31 46 38
18 50 41
35 50 21
7 55 9
40 62 13
27 65 28
36 66 37
46 66 22
18 71 14
32 77 13
68 80 31
4 81 28
31 81 28
52 81 9
2 85 17
8 87 42
23 87 10
49 88 16
86 92 28
63 94 31
30 95 22
14 96 21
38 103 13
84 104 8
34 105 39
4 112 42
85 113 15
72 115 30
100 116 30
89 119 43
106 121 23
21 124 10
113 124 41
40 126 10
85 128 14
22 130 27
32 137 27
66 138 42
55 145 38
56 147 8
37 148 9
87 149 10
8 150 13
33 150 31
79 154 14
41 156 9
126 156 45
89 157 17
56 159 20
101 159 13
64 160 32
63 161 25
146 162 31
67 163 45
99 166 29
77 167 21
102 168 20
143 169 39
37 171 43
97 171 28
142 172 37
145 172 20
98 175 39
84 177 42
71 178 27
147 180 9
79 181 33
8 183 42
138 183 16
44 184 39
142 184 25
65 185 36
104 186 31
35 187 20
36 188 26
151 189 26
80 190 22
21 191 34
54 192 14
28 193 9
61 193 18
141 193 38
167 194 43
107 195 28
11 196 33
42 196 23
89 197 36
116 199 24
24 201 36
34 201 20
121 201 18
167 201 42
148 202 41
176 202 37
102 203 37
152 203 37
202 203 8
43 205 15
81 206 13
102 206 36
92 207 41
19 208 37
47 209 39
6 212 24
54 214 37
195 214 20
82 219 44
151 219 7
164 221 24
89 222 14
146 224 18
168 225 8
192 225 43
211 225 32
48 227 42
106 229 34
49 230 14
154 231 45
183 231 33
168 232 35
85 233 33
118 233 17
72 234 23
182 236 27
92 237 26
109 237 8
125 237 34
35 239 15
149 239 15
59 240 25
161 240 17
19 243 41
51 245 14
147 248 44
228 250 11
197 251 18
83 252 28
132 252 12
244 253 14
152 254 8
146 255 19
50 258 43
107 258 40
76 260 41
248 260 11
90 261 14
37 264 23
177 264 21
91 265 23
10 266 27
65 266 20
135 266 17
14 268 27
75 268 10
213 268 30
21 269 19
58 269 20
256 269 30
11 270 20
204 270 11
234 273 13
3 274 20
