1400 11192
1 193 2
1 388 2
1 581 2
1 358 1
1 647 4
1 847 4
1 15 2
1 496 1
1 853 2
1 214 1
1 987 1
1 734 4
1 288 4
2 33 1
2 1334 4
2 455 2
2 525 2
2 491 1
2 460 4
2 45 2
2 174 4
2 877 4
2 947 1
2 406 4
2 1207 4
2 1142 4
2 22 2
3 33 1
3 837 1
3 716 1
3 1133 4
3 883 1
3 1102 2
3 497 4
3 243 1
3 703 2
3 1371 2
3 510 1
3 63 2
3 1302 4
4 323 1
4 444 1
4 325 2
4 1062 1
4 626 2
4 1321 4
4 1291 2
4 524 2
4 303 4
4 688 1
4 114 2
4 723 2
4 182 2
4 759 1
4 1114 4
4 698 1
4 923 1
4 60 4
4 1046 4
4 726 2
5 929 2
5 514 1
5 163 1
5 741 2
5 807 1
5 39 1
5 427 2
5 399 1
5 1247 2
5 559 4
5 951 4
5 312 2
5 1017 2
5 1157 2
5 1308 1
5 413 4
5 383 2
5 800 1
6 519 1
6 267 2
6 269 2
6 1294 2
6 1167 4
6 403 4
6 692 1
6 1178 2
6 35 4
6 296 2
6 1076 2
6 695 1
6 697 2
6 60 2
6 67 2
6 324 2
6 1079 2
6 978 2
6 599 2
6 1113 1
6 860 2
6 869 4
6 1138 2
6 501 1
6 534 1
7 1257 2
7 258 1
7 867 1
7 164 1
7 567 2
7 1319 4
7 780 2
7 797 2
7 843 2
7 140 2
7 1262 2
7 303 4
7 176 4
7 937 4
7 356 2
7 119 2
7 25 4
7 605 1
7 1118 1
8 1027 2
8 228 4
8 1029 2
8 905 2
8 1251 4
8 724 2
8 1198 4
8 1263 4
8 464 2
8 665 4
8 276 4
8 439 4
8 441 1
8 507 4
8 1344 4
8 989 4
8 1023 4
8 288 1
9 705 4
9 998 1
9 1268 2
9 361 4
9 650 1
9 812 2
9 1102 1
9 977 1
9 1247 1
9 820 1
9 1151 4
9 567 4
9 443 2
9 61 4
9 1022 4
9 1119 2
9 1012 2
10 1239 4
10 1091 2
10 517 1
10 390 2
10 907 2
10 204 2
10 301 1
10 1136 2
10 178 4
10 1011 4
10 981 2
10 630 1
10 87 2
10 376 1
10 741 1
11 353 1
11 130 2
11 1378 4
11 166 2
11 770 1
11 233 4
11 811 2
11 840 2
11 270 1
11 784 2
11 1214 2
11 820 4
11 1342 2
11 887 2
11 920 2
11 345 2
11 766 4
11 1158 4
12 68 4
12 1172 2
12 807 4
12 1330 4
12 233 4
12 458 4
12 1103 1
12 548 4
12 947 4
12 484 1
12 533 1
12 964 1
12 1370 4
12 1371 2
12 158 1
12 447 1
13 1158 1
13 460 1
13 101 4
13 820 4
13 488 1
13 1318 4
13 172 4
13 398 1
13 336 2
13 1177 2
13 740 4
13 496 4
13 652 1
13 440 1
13 1147 4
13 794 2
13 27 2
13 188 4
13 126 4
13 191 4
13 694 1
14 513 1
14 833 4
14 734 1
14 862 2
14 1102 4
14 202 2
14 1150 2
14 963 1
14 15 1
14 560 2
14 1279 4
14 1046 4
14 1337 1
14 90 4
14 59 2
14 124 2
14 126 2
14 1183 2
15 1153 2
15 931 1
15 1189 4
15 421 4
15 1285 2
15 1317 4
15 1277 4
15 204 1
15 1101 4
15 947 4
15 246 2
15 727 2
15 728 2
15 165 1
15 861 2
15 736 1
16 931 4
16 294 1
16 946 2
16 265 2
16 1034 4
16 1261 4
16 750 2
16 431 2
16 594 1
16 149 1
16 438 1
16 1015 4
16 473 1
16 1050 1
16 527 2
16 1020 2
16 838 1
17 322 4
17 620 1
17 1029 2
17 1254 2
17 364 2
17 494 1
17 463 1
17 336 2
17 881 4
17 243 2
17 21 4
17 1088 4
17 190 1
17 288 4
18 392 2
18 680 2
18 745 2
18 812 4
18 239 2
18 1011 1
18 85 4
18 984 1
18 888 1
18 1214 4
18 1120 1
19 1122 1
19 516 2
19 998 4
19 840 2
19 381 4
19 1005 2
19 1380 2
19 309 2
19 1311 1
19 1175 1
19 1258 4
19 795 4
19 253 1
19 1307 2
19 575 2
19 1024 2
20 355 2
20 743 1
20 104 2
20 970 4
20 203 1
20 936 4
20 1389 2
