1843 19572
4 5 2.0
4 8 2.0
1 11 2.0
6 12 2.0
11 16 2.0
6 17 2.0
15 20 2.0
14 30 2.0
9 35 2.0
10 36 2.0
15 36 2.0
16 43 2.0
2 44 2.0
24 45 2.0
9 46 2.0
45 49 2.0
14 51 2.0
3 54 2.0
30 61 2.0
36 65 2.0
25 67 2.0
32 67 2.0
58 67 2.0
16 68 2.0
62 69 2.0
67 69 2.0
18 70 2.0
73 75 2.0
1 76 2.0
19 79 2.0
26 79 2.0
1 80 2.0
59 81 2.0
15 83 2.0
7 84 2.0
14 85 2.0
16 85 2.0
32 85 2.0
79 85 2.0
66 86 2.0
40 87 2.0
59 87 2.0
63 88 2.0
75 88 2.0
87 88 2.0
29 89 2.0
85 89 2.0
22 91 2.0
20 92 2.0
7 94 2.0
63 94 2.0
66 94 2.0
61 95 2.0
65 96 2.0
72 96 2.0
16 97 2.0
24 97 2.0
30 99 2.0
64 99 2.0
76 100 2.0
92 100 2.0
91 101 2.0
17 102 2.0
35 102 2.0
65 102 2.0
34 103 2.0
86 103 2.0
14 108 2.0
104 109 2.0
107 110 2.0
25 111 2.0
34 115 2.0
81 116 2.0
80 117 2.0
22 118 2.0
69 119 2.0
83 119 2.0
115 119 2.0
62 120 2.0
98 120 2.0
71 121 2.0
86 121 2.0
7 123 2.0
46 123 2.0
28 124 2.0
81 124 2.0
82 125 2.0
113 125 2.0
56 127 2.0
24 128 2.0
17 129 2.0
20 129 2.0
95 129 2.0
1 131 2.0
12 131 2.0
9 132 2.0
97 132 2.0
118 133 2.0
98 136 2.0
6 137 2.0
86 137 2.0
1 138 2.0
108 138 2.0
112 138 2.0
1 139 2.0
64 139 2.0
87 139 2.0
39 140 2.0
38 141 2.0
10 142 2.0
90 142 2.0
98 142 2.0
62 143 2.0
64 143 2.0
48 144 2.0
139 144 2.0
77 145 2.0
42 146 2.0
49 147 2.0
40 148 2.0
60 148 2.0
56 149 2.0
87 149 2.0
30 150 2.0
110 150 2.0
115 150 2.0
133 150 2.0
46 151 2.0
62 151 2.0
7 152 2.0
89 152 2.0
24 153 2.0
105 154 2.0
149 154 2.0
90 155 2.0
12 156 2.0
127 156 2.0
7 158 2.0
98 158 2.0
106 158 2.0
29 159 2.0
43 159 2.0
86 159 2.0
90 160 2.0
122 160 2.0
6 161 2.0
43 162 2.0
46 162 2.0
161 162 2.0
87 163 2.0
122 163 2.0
100 164 2.0
133 164 2.0
151 164 2.0
13 165 2.0
122 165 2.0
137 165 2.0
37 166 2.0
105 166 2.0
128 166 2.0
22 167 2.0
97 167 2.0
54 168 2.0
64 169 2.0
156 169 2.0
40 170 2.0
160 170 2.0
62 171 2.0
82 171 2.0
100 171 2.0
115 171 2.0
16 172 2.0
121 172 2.0
123 172 2.0
23 173 2.0
42 173 2.0
107 173 2.0
84 174 2.0
152 175 2.0
92 176 2.0
132 176 2.0
171 177 2.0
16 178 2.0
122 178 2.0
21 179 2.0
59 179 2.0
30 180 2.0
125 180 2.0
50 181 2.0
61 181 2.0
94 181 2.0
77 182 2.0
92 182 2.0
106 182 2.0
88 185 2.0
114 185 2.0
117 185 2.0
140 185 2.0
171 185 2.0
66 186 2.0
134 186 2.0
38 187 2.0
119 187 2.0
135 187 2.0
53 188 2.0
118 188 2.0
32 189 2.0
43 189 2.0
61 189 2.0
20 190 2.0
45 191 2.0
59 192 2.0
50 193 2.0
57 193 2.0
98 193 2.0
30 194 2.0
137 194 2.0
83 195 2.0
165 195 2.0
54 197 2.0
72 197 2.0
76 197 2.0
168 198 2.0
129 199 2.0
182 199 2.0
11 200 2.0
114 200 2.0
57 201 2.0
140 201 2.0
14 202 2.0
128 202 2.0
146 202 2.0
27 203 2.0
142 203 2.0
148 203 2.0
177 203 2.0
191 203 2.0
15 205 2.0
32 205 2.0
52 205 2.0
132 205 2.0
33 206 2.0
48 206 2.0
85 207 2.0
37 208 2.0
125 208 2.0
94 209 2.0
156 209 2.0
159 209 2.0
50 210 2.0
98 211 2.0
110 211 2.0
62 212 2.0
136 212 2.0
192 212 2.0
55 213 2.0
161 213 2.0
191 213 2.0
46 215 2.0
12 216 2.0
42 216 2.0
46 216 2.0
63 216 2.0
93 216 2.0
170 216 2.0
176 216 2.0
159 217 2.0
2 218 2.0
15 218 2.0
101 218 2.0
81 219 2.0
100 219 2.0
191 219 2.0
95 220 2.0
116 220 2.0
207 220 2.0
23 221 2.0
17 222 2.0
205 222 2.0
3 223 2.0
76 223 2.0
114 223 2.0
200 224 2.0
58 225 2.0
218 225 2.0
156 226 2.0
178 226 2.0
23 227 2.0
36 227 2.0
60 227 2.0
18 228 2.0
194 228 2.0
219 228 2.0
176 229 2.0
69 230 2.0
81 230 2.0
46 231 2.0
208 231 2.0
106 232 2.0
169 232 2.0
215 232 2.0
21 233 2.0
21 234 2.0
28 234 2.0
108 235 2.0
220 235 2.0
115 236 2.0
186 236 2.0
229 236 2.0
87 237 2.0
143 237 2.0
208 237 2.0
77 238 2.0
97 238 2.0
193 238 2.0
212 238 2.0
12 239 2.0
13 239 2.0
158 239 2.0
219 239 2.0
9 240 2.0
131 240 2.0
237 240 2.0
155 242 2.0
180 242 2.0
200 242 2.0
224 243 2.0
66 245 2.0
215 245 2.0
62 246 2.0
72 246 2.0
172 246 2.0
70 248 2.0
198 248 2.0
70 249 2.0
78 250 2.0
81 250 2.0
169 250 2.0
61 251 2.0
104 251 2.0
59 252 2.0
203 252 2.0
57 253 2.0
104 253 2.0
13 254 2.0
75 254 2.0
31 255 2.0
59 255 2.0
159 255 2.0
32 256 2.0
49 256 2.0
102 256 2.0
124 256 2.0
204 256 2.0
216 256 2.0
240 256 2.0
6 257 2.0
11 257 2.0
203 257 2.0
24 258 2.0
72 258 2.0
194 258 2.0
30 259 2.0
247 260 2.0
9 261 2.0
93 261 2.0
161 261 2.0
171 261 2.0
138 262 2.0
204 262 2.0
209 262 2.0
238 262 2.0
1 264 2.0
31 264 2.0
124 264 2.0
151 264 2.0
186 264 2.0
11 265 2.0
20 265 2.0
28 265 2.0
56 265 2.0
227 265 2.0
28 266 2.0
205 266 2.0
207 266 2.0
219 267 2.0
26 268 2.0
116 268 2.0
231 268 2.0
238 268 2.0
259 269 2.0
60 270 2.0
72 270 2.0
128 270 2.0
260 270 2.0
175 271 2.0
204 271 2.0
249 271 2.0
19 272 2.0
160 272 2.0
234 272 2.0
108 273 2.0
223 273 2.0
4 274 2.0
50 274 2.0
54 274 2.0
79 274 2.0
122 275 2.0
125 275 2.0
199 275 2.0
234 275 2.0
261 275 2.0
91 276 2.0
139 276 2.0
265 276 2.0
61 277 2.0
90 277 2.0
207 277 2.0
271 277 2.0
219 278 2.0
225 278 2.0
35 279 2.0
70 279 2.0
108 279 2.0
143 279 2.0
191 280 2.0
273 280 2.0
196 281 2.0
95 282 2.0
2 283 2.0
61 284 2.0
137 284 2.0
142 284 2.0
190 284 2.0
219 284 2.0
43 285 2.0
62 285 2.0
160 285 2.0
37 286 2.0
89 286 2.0
90 286 2.0
95 286 2.0
113 286 2.0
190 286 2.0
16 287 2.0
66 287 2.0
179 287 2.0
244 287 2.0
284 287 2.0
18 288 2.0
66 288 2.0
99 288 2.0
157 288 2.0
282 288 2.0
74 289 2.0
142 289 2.0
218 289 2.0
227 289 2.0
3 290 2.0
133 290 2.0
280 290 2.0
126 291 2.0
66 292 2.0
87 292 2.0
228 292 2.0
73 293 2.0
164 293 2.0
177 293 2.0
273 293 2.0
292 293 2.0
34 294 2.0
111 294 2.0
122 294 2.0
249 294 2.0
108 296 2.0
166 296 2.0
172 296 2.0
224 296 2.0
57 297 2.0
87 297 2.0
134 297 2.0
144 298 2.0
162 298 2.0
197 298 2.0
37 299 2.0
80 299 2.0
244 299 2.0
28 300 2.0
80 300 2.0
35 301 2.0
175 301 2.0
177 302 2.0
253 302 2.0
288 302 2.0
21 303 2.0
58 303 2.0
232 303 2.0
302 303 2.0
133 304 2.0
274 304 2.0
278 304 2.0
120 305 2.0
71 306 2.0
240 306 2.0
292 306 2.0
304 306 2.0
221 307 2.0
255 307 2.0
10 308 2.0
40 308 2.0
199 308 2.0
201 308 2.0
77 309 2.0
91 309 2.0
126 309 2.0
160 309 2.0
164 309 2.0
288 309 2.0
40 310 2.0
155 310 2.0
99 311 2.0
111 311 2.0
232 311 2.0
261 311 2.0
24 312 2.0
47 312 2.0
156 312 2.0
205 312 2.0
259 312 2.0
265 312 2.0
66 313 2.0
187 313 2.0
35 314 2.0
71 314 2.0
72 314 2.0
95 314 2.0
84 315 2.0
307 315 2.0
179 316 2.0
